"CÓD. 
DEP.",DEPARTAMENTO,CÓD. MUN.,MUNICIPIO,"GRUPO 
DE CULTIVO","SUBGRUPO 
DE CULTIVO",CULTIVO,DESAGREGACIÓN REGIONAL Y/O SISTEMA PRODUCTIVO,AÑO,PERIODO,"Área Sembrada
(ha)","Área Cosechada
(ha)","Producción
(t)","Rendimiento
(t/ha)",ESTADO FISICO PRODUCCION,"NOMBRE 
CIENTIFICO",CICLO DE CULTIVO
18,CAQUETA,18205,CURILLO,HORTALIZAS,ACELGA,ACELGA,ACELGA,2017,2017A,2,1,3,3,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
18,CAQUETA,18205,CURILLO,HORTALIZAS,ACELGA,ACELGA,ACELGA,2018,2018A,3,3,9,3,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
18,CAQUETA,18479,MORELIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2014,2014,1,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2015,2015,4,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2015,2015,1,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2016,2016,44,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2016,2016,1,1,4,4,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2017,2017,44,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2017,2017,1,1,5,4.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18610,SAN JOSE DEL FRAGUA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2018,2018,44,4,20,5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18479,MORELIA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2018,2018,1,1,5,5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2010,2010B,2,2,20,10,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2011,2011A,3,3,42,14,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18756,SOLANO,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2011,2011A,3,3,42,15,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18756,SOLANO,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2011,2011B,3,3,39,15,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2012,2012A,4,4,60,15,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2012,2012B,4,4,60,15,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2013,2013A,4,4,60,15,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2013,2013B,8,8,80,10,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2014,2014A,9,9,90,10,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2015,2015A,10,10,40,4,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18001,FLORENCIA,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2016,2016A,27,27,108,4,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
18,CAQUETA,18205,CURILLO,HORTALIZAS,AHUYAMA,AHUYAMA,AHUYAMA,2017,2017A,4,2,4,1.8,HORTALIZA FRESCA,CUCURBITA MOSHATA,TRANSITORIO
